seed,step,dataset,muh_fun,method,coverage,width,muh_test,y_test
9,5,blue,ridge,full_1fcs,1.0,1.72,1.3158561898377452,1.3134643478847334
9,5,blue,ridge,full_mfcs,1.0,1.54,1.3158561898377452,1.3134643478847334
10,1,blue,ridge,full_ex,1.0,1.48,1.25554072378262,1.4024814815392346
10,1,blue,ridge,full_1fcs,1.0,2.22,1.25554072378262,1.4024814815392346
10,1,blue,ridge,full_mfcs,1.0,2.22,1.25554072378262,1.4024814815392346
10,2,blue,ridge,full_ex,1.0,1.22,1.340431488534743,1.332284655940225
10,2,blue,ridge,full_1fcs,1.0,2.22,1.340431488534743,1.332284655940225
10,2,blue,ridge,full_mfcs,1.0,2.22,1.340431488534743,1.332284655940225
10,3,blue,ridge,full_ex,1.0,1.28,0.9800937052523677,1.2723225345036093
10,3,blue,ridge,full_1fcs,0.0,1.0,0.9800937052523677,1.2723225345036093
10,3,blue,ridge,full_mfcs,1.0,1.04,0.9800937052523677,1.2723225345036093
10,4,blue,ridge,full_ex,1.0,1.44,1.1886418276502417,1.770601948480858
10,4,blue,ridge,full_1fcs,0.0,1.48,1.1886418276502417,1.770601948480858
10,4,blue,ridge,full_mfcs,0.0,1.7,1.1886418276502417,1.770601948480858
10,5,blue,ridge,full_ex,1.0,1.68,1.5130302934192228,1.4261786028376922
10,5,blue,ridge,full_1fcs,1.0,2.22,1.5130302934192228,1.4261786028376922
10,5,blue,ridge,full_mfcs,1.0,2.22,1.5130302934192228,1.4261786028376922
11,1,blue,ridge,full_ex,1.0,1.44,1.1706092357758786,1.3664047028085602
11,1,blue,ridge,full_1fcs,1.0,2.22,1.1706092357758786,1.3664047028085602
11,1,blue,ridge,full_mfcs,1.0,2.22,1.1706092357758786,1.3664047028085602
11,2,blue,ridge,full_ex,1.0,0.9400000000000001,1.3887283612488945,1.4006163045074338
11,2,blue,ridge,full_1fcs,1.0,2.22,1.3887283612488945,1.4006163045074338
11,2,blue,ridge,full_mfcs,1.0,2.22,1.3887283612488945,1.4006163045074338
11,3,blue,ridge,full_ex,1.0,0.88,1.4006127302697975,1.3588723194476737
11,3,blue,ridge,full_1fcs,1.0,1.74,1.4006127302697975,1.3588723194476737
11,3,blue,ridge,full_mfcs,1.0,1.7,1.4006127302697975,1.3588723194476737
11,4,blue,ridge,full_ex,1.0,0.86,1.3998621213547633,1.4503342590277897
11,4,blue,ridge,full_1fcs,1.0,2.22,1.3998621213547633,1.4503342590277897
11,4,blue,ridge,full_mfcs,1.0,2.22,1.3998621213547633,1.4503342590277897
11,5,blue,ridge,full_ex,1.0,0.86,1.3797505595466522,1.3918335111136435
11,5,blue,ridge,full_1fcs,1.0,1.72,1.3797505595466522,1.3918335111136435
11,5,blue,ridge,full_mfcs,1.0,1.62,1.3797505595466522,1.3918335111136435
12,1,blue,ridge,full_ex,0.0,0.9,1.0859646822942675,0.30127927270815896
12,1,blue,ridge,full_1fcs,1.0,2.22,1.0859646822942675,0.30127927270815896
12,1,blue,ridge,full_mfcs,1.0,2.22,1.0859646822942675,0.30127927270815896
12,2,blue,ridge,full_ex,1.0,1.52,1.5861131571493543,1.5910881164216792
12,2,blue,ridge,full_1fcs,1.0,2.22,1.5861131571493543,1.5910881164216792
12,2,blue,ridge,full_mfcs,1.0,2.22,1.5861131571493543,1.5910881164216792
12,3,blue,ridge,full_ex,1.0,1.4000000000000001,1.5910870105947148,1.5949384252931127
12,3,blue,ridge,full_1fcs,1.0,2.22,1.5910870105947148,1.5949384252931127
12,3,blue,ridge,full_mfcs,1.0,2.22,1.5910870105947148,1.5949384252931127
12,4,blue,ridge,full_ex,1.0,1.3800000000000001,1.5930125039007477,1.5613791736948242
12,4,blue,ridge,full_1fcs,1.0,2.22,1.5930125039007477,1.5613791736948242
12,4,blue,ridge,full_mfcs,1.0,1.92,1.5930125039007477,1.5613791736948242
12,5,blue,ridge,full_ex,1.0,1.3800000000000001,1.5824688418805093,1.520200719541708
12,5,blue,ridge,full_1fcs,1.0,2.22,1.5824688418805093,1.520200719541708
12,5,blue,ridge,full_mfcs,1.0,1.92,1.5824688418805093,1.520200719541708
13,1,blue,ridge,full_ex,1.0,1.6,0.9962028218748404,1.4660164326324283
13,1,blue,ridge,full_1fcs,1.0,2.22,0.9962028218748404,1.4660164326324283
13,1,blue,ridge,full_mfcs,1.0,2.22,0.9962028218748404,1.4660164326324283
13,2,blue,ridge,full_ex,1.0,1.32,1.05292513749125,1.4694101831952218
13,2,blue,ridge,full_1fcs,1.0,2.22,1.05292513749125,1.4694101831952218
13,2,blue,ridge,full_mfcs,1.0,2.22,1.05292513749125,1.4694101831952218
13,3,blue,ridge,full_ex,1.0,1.2,1.4693112265452366,1.3860401135174332
13,3,blue,ridge,full_1fcs,1.0,2.02,1.4693112265452366,1.3860401135174332
13,3,blue,ridge,full_mfcs,1.0,2.14,1.4693112265452366,1.3860401135174332
13,4,blue,ridge,full_ex,1.0,1.04,1.4276806169162968,1.3070976839639805
13,4,blue,ridge,full_1fcs,1.0,2.0,1.4276806169162968,1.3070976839639805
13,4,blue,ridge,full_mfcs,1.0,1.72,1.4276806169162968,1.3070976839639805
13,5,blue,ridge,full_ex,1.0,1.06,1.3874894898179693,1.4188790575543226
13,5,blue,ridge,full_1fcs,1.0,1.94,1.3874894898179693,1.4188790575543226
13,5,blue,ridge,full_mfcs,1.0,1.72,1.3874894898179693,1.4188790575543226
14,1,blue,ridge,full_ex,1.0,1.22,1.2424558896902216,0.5477036162224213
14,1,blue,ridge,full_1fcs,1.0,2.22,1.2424558896902216,0.5477036162224213
14,1,blue,ridge,full_mfcs,1.0,2.22,1.2424558896902216,0.5477036162224213
14,2,blue,ridge,full_ex,1.0,1.42,1.5393680099067821,1.3744911670543094
14,2,blue,ridge,full_1fcs,1.0,2.22,1.5393680099067821,1.3744911670543094
14,2,blue,ridge,full_mfcs,1.0,2.22,1.5393680099067821,1.3744911670543094
14,3,blue,ridge,full_ex,1.0,1.46,1.37669211110345,1.370337101762614
14,3,blue,ridge,full_1fcs,1.0,1.72,1.37669211110345,1.370337101762614
14,3,blue,ridge,full_mfcs,1.0,1.74,1.37669211110345,1.370337101762614
14,4,blue,ridge,full_ex,1.0,1.48,1.3735148737003955,1.3788319540944514
14,4,blue,ridge,full_1fcs,1.0,1.82,1.3735148737003955,1.3788319540944514
